id,question,level
1,"Identify the basic data structures,memory representation and various operations of array",1
2,Simulate the linear data structure operations of stack and its applications,2
3,"Demonstrate the data structure queue, operations and and applications",3
4,"Implement linked list , operations and its application",4
5,"Simulate nonlinear data structures like tree, graph and their traversal",5
6,Select and use appropriate data structures for problem sorting and searching,6
7,"Identify the basic data structures,memory representation and various operations of array",1
8,Simulate the linear data structure operations of stack and its applications,2
9,"Demonstrate the data structure queue, operations and and applications",3
10,"Implement linked list , operations and its application",4
11,"Simulate nonlinear data structures like tree, graph and their traversal",5
12,"Explain the advantages of .NET technology, Architecture and common run time environments",1
13,Analyse and evaluate the use of various datatypes and data structures,2
14,Practice decision structures and loop structures for determining different operations and to perform repetitive tasks,3
15,Construct and debug Visual Basic applications,4
16,Construct and Deploy Windows and Web applications,5
17,Construct GUI programming with database application,6
18,"Explain the advantages of .NET technology, Architecture and common run time environments",1
19,Analyse and evaluate the use of various datatypes and data structures,2
20,Identify the computer graphics display technologies.,1
21,Analyze basic computer programming concepts and solve basic C++ programs using selection statements.,1
22,Design basic C++ programs using looping and jump statements and use pointers and arrays to build programs for evaluation.,2
23,Demonstrate the use of functions to solve problems.,3
24,"Develop skills to use structures, data handling through files in C++ and describe object oriented concepts such as class, object, inheritance etc.",4
25,Identify the significance of operating system in computing devices and describe the various structures of operating systems.,1
26,Apply Inter Process Communication for the communication between application programs.,2
27,Illustrate basic numerical methods for interpolation and finding roots of equations.,5
28,Compare and illustrate various synchronization problems with its solution using semaphores and monitors,3
29,Demonstrate the deadlock avoidance & detection solutions and various process scheduling algorithm analysis.,4
30,Utilize numerical techniques for integration and solution of partial differential equations.,6
31,Explain Virtual memory concept and different memory management schemes .,5
32,Describe the file management and appreciate the need of access control and protection in an operating system.,6
33,Analyse and solve simple arithmetic and logical    problems using C Programming Language.,1
34,Organize appropriate algorithms to solve problems using control Structures.,2
35,Identify the use of structured and modular design principles,3
36,Demonstrate effective use of derived data types to solve complex problems.,4
37,"Discuss how Android applications work, their life cycle, manifest, Intents, and using external resources",1
38,Practice decision structures and loop structures for determining different operations and to perform repetitive tasks,3
39,Construct  and debug Visual Basic applications,4
40,Construct and Deploy Windows and Web applications,5
41,Construct GUI programming with database application,6
42,Implement security functions of different types,6
43,Interpret  mapping functions and replacement algorithms,6
44,"Demonstrate the engineering and economic involvement in the planning, operation and control of power generation and transmission systems in electric utilities",1
45,Infer steady state and dynamic response of power system control,2
46,Interpret the nuances of unit commitment in power systems,3
47,Demonstrate the characteristics of a wide variety of thermal and hydroelectric power generation systems,4
48,Interpret the subtle concepts of energy exchanges between different power systems,5
49,Analyze trusses and determine internal axial forces,1
50,"Infer displacement response of statically determinate structures using energy methods, virtual work methods",2
51,Analyze statically indeterminate structures using strain energy method and method of consistent deformation,3
52,Construct influence lines to evaluate the effect of moving loads on statically determinate structures,4
53,"Analyze statically determinate arches, suspension bridges and cables",5
